# 階段④ 主 triage：140 條【在等什麼】分群（只盤不修，known_issues.md 一字未改）
#
# ═══ ★母體（先寫死，且它會再長）═══
# `docs/known_issues.md` 的 `^## ` 行 ＝ **140**（檔案 2459 行）
#   ★另兩種數法：`^# `=1（檔頭）／`^### `=139 ⇒ ★★而 ### 多半是【聚合體內部的子項】（見群⑨）
#   ⇒ ★★★「140 條」≠「140 件在等的事」：★10 個聚合體自己就吃掉近千行
#
# ═══ ★★★先報壞消息：純機械（關鍵詞）分群【不能用】═══
# 我先寫了一版關鍵詞分類器（待量／待裁／PARK／arc…），跑出來：①8 ②8 ③9 ★④108 ⑤7
# ★而校準物打掉它：6 條裡【錯 5 條】。
# ★★它的失效方向正好是最危險的那個：77% 掉進 ④，而 ④ 是【一出來就立即排】的那群
#   ⇒ ★★★等於把 108 條（含大量已結案的）直接排進工作。
# ⇒ 分群不是 grep 題，是【讀】題。下表逐條讀出來，每列附可複驗引文。
#
# ═══ ★群集 ═══
#   ①等 arc         =  24
#   ②等量測           =  12
#   ③等裁決           =   6
#   ④真 backlog     =  37
#   ⑥等外部觸發         =   8
#   ⑦已結案／純紀錄       =  43
#   ⑨聚合體           =  10
#
# ★★★我加了三群（★都是被資料逼出來的，不是想分細）：
#  ⑦已結案／純紀錄 = 43 ★若不分出來它們【全部】落進 ④「不等任何東西」⇒ 被當 backlog 立即排
#     ⇒ ★★★這是本輪最大的坑：140 條裡有 43 條是【紀錄】不是【待辦】。
#  ⑥等外部觸發 = 8 ★校準物 2396/2444 的觸發是「下次有信被重送」——①②③④【沒有一格裝得下】
#     ⇒ 依你「⑤讀不出來別硬塞」的紀律我沒硬塞；★★而它們讀得出來，是【分類表缺一格】。
#  ⑨聚合體 = 10 ★一個 `## ` 底下 87／105／552 行、內含幾十個子項 ⇒ 對它問「在等什麼」沒有單一答案
#
# ═══ ★★校準（★而我先講它【不成立】的那一半）═══
# 你指定的校準物＝今天帶【回訪：】的 6 條。我的分群：
#   2307 ②✓ ／ 2328 ②✓ ／ 2352 ③✓ ／ 2366 ②✓ ／ 2396 ⑥ ／ 2444 ⑥
# ★★★而我在分類前【就讀過它們的回訪行】⇒ 那 4 個 ✓【不能】證明我的判準對。
#   ⇒ 照實說：這 6 條在我這裡是【範例】不是【盲測】。★我沒有把它當成通過的證據。
# ★★但它們仍做到了校準物該做的事：2396/2444 讓【分類表缺一格】現形。
#
# ═══ ★★★而校準物母體被低估了：不是 6 條 ═══
# ★我改搜「觸發條件」（不是「回訪」），另外找到 4 處：
#   :108 ／ :145 ／ :154（全在 [78] 效能 arc 收束裡）「★再驗觸發條件：市場成交量到達可統計量級時」
#   :1028（在 [1022] 裡）「觸發條件=長窗數據見『狼卡可解 gate 前乾等』」
#   :1793-1799（[1793] 整條就是「blueprint 已各給處置與觸發條件」）
# ⇒ ★★帶觸發條件的條目 ≥ 10 條，不是 6 條 —— ★★★只是它們用了不同的詞。
# ⇒ ★而這直接改了我對 [78] 的判：我原本判它 ⑦已結案，讀到 :108 才發現【它還等一個觸發】。
#
# ═══ ★第三騎士：觸發還活著嗎（只對群① 24 條逐條查）═══
# ★來源鏈：`docs/roadmap.md` 是 pointer → `game-design.md:122` → ★★`progress.md §當前路線圖總覽`
#   ⇒ ★★★三跳才到 live 檔（roadmap.md 自己只有 15 行）。我跳完，用最終那份判活性。
#
行號	群	在等什麼	★憑哪句話（必在該條目內文）	觸發還活著嗎	行數	標題
2214	⑥等	★等雙緩衝修完後重判（已登記預測＋證偽條件）	修完後	—	9	★★分類建立在一個【正在被修的 bug】上 —— `LADDER` 的「②不退」待重判（2026-08-28）
2223	⑥等	★等（明說不現在修）／與 2214 同一支	不現在修	—	12	★LADDER 是唯一「選擇真的會變」的那一支 —— 具名記錄（2026-08-28，不現在修）
2235	④真	不等任何東西（三顆無名骰子）	無名骰子	—	11	★`harvest_system` 還有三個【無名骰子】（2026-09-01，S5a merge 時記，★不夾帶）
2246	④真	不等任何東西（復發，成因已寫在註解裡）	復發	—	13	★g1a 礦村未鑄幣【復發】（2026-09-01 記，systems）
2259	⑦已	—（明說舊行不補）	舊行不補	—	4	★baseline 三欄補齊（2026-09-01 記）
2263	④真	不等任何東西（床結構盲區）	結構性量不到	—	17	★★★床的結構性盲區：`Probe.reset()` 在 `GameSetup.setup()` 之後（2026-09-01，measurer 自揭）
2280	④真	不等任何東西（一張紅著沒人讀的床）	本來就紅	—	16	★settlement_s2b_test：**一張紅著、沒有人在讀的床**（2026-09-01）
2296	⑦已	—（本次 triage 的起因記錄）	沒有人回來看	—	11	★★★known_issues 自己就是「記下來沒人回來看」的地方（2026-09-01，implementer 指出）
2307	②等	★校準物：世界平均 minor 佔比量出來的那一輪	回訪：量測窗	—	21	★★★44 處團級 burn 估算漏算 `minor_population`（2026-09-01，型③ 對帳所得）
2328	②等	★校準物：若日後量到 minor 佔比 > 5%	回訪：觸發事件	—	11	★44 處 burn 漏 minor —— **裁定不開票**（systems 2026-09-01）
2339	⑦已	—（結案：觀測窗短於機制週期）	結案	—	13	★~~人口不成長：90 天只生 1 個~~ ⇒ ★★★**結案：觀測窗短於機制週期**（2026-09-01）
2352	③等	★校準物：blueprint 裁定人口該不該成長	回訪：觸發事件	—	14	★人口不成長：**90 天只生 1 個**（2026-09-01 正式記；★不是迴歸，是長期低速率）
2366	②等	★校準物：下次有機制需要 warring 長窗才量得到	回訪：觸發事件	—	30	★★★warring 床的長窗（90 天）跑不完 —— **而它是量測能力的上限**（2026-09-01）
2396	⑥等	★校準物：下次有信被重送／watchdog 點名	回訪：觸發事件	—	48	★★★信箱的 `consume` 標記會【消失】—— 而成因未知（2026-09-01）
2444	⑥等	★校準物：同上（★★與 2396 【重複條目】）	回訪：觸發事件	—	17	★★★信箱的 consume 標記會【消失】—— 而成因未知（2026-09-01）

# ═══ ★★★死觸發群（第三騎士的產出）＝ 10 條 ═══
#   ★ [754] ★查不到 —— coin 循環『降框架債 backlog…日後市場活了才有意義』，路線圖總覽無 coin arc
#   ★ [934] ★查不到 —— 資訊網 arc CLOSED/ACCEPTED，補完批四項【不含】gossip 名聲傳播
#   ★ [937] ★查不到 —— 路線圖總覽與 memory 都沒有『名聲磁鐵 slice』
#   ★ [1022] ★查不到 —— 路線圖總覽無『讀B／G3 Phase E』
#   ★ [1041] ★查不到 —— 無具名 arc 承接孤兒 affordance
#   ★ [1473] ★★★查不到，而且更糟 —— 它等的是【2026-07-14 的 slice A 驗收】，那早就過了 ⇒ 觸發【已經發生】而沒有人回來看
#   ★ [1481] ★查不到 —— 路線圖總覽無『person 情緒系統 arc』（game-design 有願景段，那不是排程）
#   ★ [1499] ★查不到 —— 路線圖總覽與 memory 都無『③內部政治 slice』
#   ★ [1610] ★查不到 —— 沒有『戰耗／造耗／傷耗率』世界物理機制的 arc
#   ★ [2022] ★查不到 —— 補完批四項不含『主動捏造』；game-design:854 自述『路線圖項非急』
# ⇒ ★我【沒有】判它們死了 —— 是【我查不到它們等的東西還在不在】，依紀律列給你判。
# ★★而 [1473] 是這群裡最刺眼的一條：★★★它等的『slice A 驗收』是 2026-07-14 的，早就過了
#   ⇒ 觸發【已經發生】，而條目還在等 —— 這正是 b_defer 那課的活體標本。

# ═══ ★順手撿到的三件（不在票裡，盤的時候撞到）═══
# ①★[2396] 與 [2444] 是【重複條目】：標題／回訪／內文血證全同（只差一組反引號）
#    ★★而兩條都寫「成因未知」—— ★★★成因今天已查出（掃入→revert 回退，commit 30e619dd）⇒ 兩條都 stale。
# ②★[2307]/[2328] 是同一件事拆兩條（症＋裁定不開票）—— 不是重複，記在這裡免得下次被當重複刪掉。
# ③★★★[1793] 自己就寫了本票的答案：「為什麼要寫觸發條件而不是只列在這裡：
#    『等某天再做』的項目會靜默失效」——★★blueprint 2026-08-26 就寫下來了，
#    ★★★而它【只被套用在那一條自己身上】，沒有變成全檔的規矩。

# ═══ ★誠實限 ═══
# ①★分群是【讀】出來的 ⇒ 帶我的判斷。每列附可複驗引文，你可以逐條打。
# ②★★10 個聚合體（群⑨）我【沒有拆】：拆＝再一輪，而且拆完數字會從 140 變成幾百
#    ⇒ ★★★在拆之前，任何「140 條裡有 N 條真 backlog」的說法都是【單位不一致】的。
# ③★觸發活性只對群①（24 條）做；②③⑥ 的觸發我【沒查】——
#    ★★而 ⑥ 最該查：「下次有信被重送」這種條件【沒有人在監看它是否已經發生】。
# ④★★★我沒有讀完每條【全文】：長條目讀的是標題＋前 5 段＋關鍵詞命中處
#    ⇒ 對聚合體與 [156]（552 行），我的判是【對整條目】，不是對它每個子項。
# ⑤只盤不修：`docs/known_issues.md` diff ＝ 0 行。
# ⑥★引文檢查：140 條的引文【全部】在該條目內文找得到（0 NOQUOTE）。
