# docs/process/defers.tsv —— ★延後裁定追蹤表（systems 立 2026-09-05，blueprint 裁「散文裁定不受追蹤＝會被遺忘」）
# ★★★met_check 的【極性】：本表幾乎每一行都是「病消失了」（`! grep -q "<病的文字>"`），
# ★met_check 內【最好不要有字面 tab】—— ★★★訂正（2026-09-18 當天）：我原本在這裡寫「一顆 tab 就把那一列切碎、那條 met_check 從寫下那天起就不能跑」——**那是錯的**。★閘自己的讀法是 `while IFS=$'	' read -r a b c met_check`，**最後一個變數會吃掉剩下的全部（含內部 tab）** ⇒ 它一直都跑得起來（實測舊列 rc=1＝病還在）。★★真正會被切碎的是**我臨時用的 `awk -F'	' '{print $4}'`** ⇒ **壞的是我的讀法，不是那一列**。★★★所以這行規矩降級成建議：**欄位裡避免字面 tab，因為【讀它的人不只一種】**。
#   ★而若你的條件是「某個東西【出現】」，**不要帶那個 `!`** ——
#   ★★血證 2026-09-16：systems 照抄了形狀、沒照抄語意 ⇒ **新增那一行當場把 main 的 defer 閘弄紅**
#   ★★★判準：**寫完一行立刻跑一次 `defer-gate.sh`** —— **它一秒鐘，而極性寫反不會有任何別的訊號。**
#
# ★★★【結案書必寫【成立謂詞】】（WHAT 立 2026-09-22）：任何【以事實為理由】的結案，結案書要寫出那個事實的謂詞；謂詞被【世代邊界內的 merge】直接推翻 ⇒ 結案【自動重開】，依原門檻重判。
#   ★防「世界變了所以重開」變萬用鑰匙：只認【寫進結案書的具名謂詞】，沒寫進去的變化【不觸發】，「我覺得世界變了」【不算】。
#   ★★血證（本表 one-pass 那列，2026-09-22）：結案理由是「`estimate_catch_up` 抽全域亂數」，而世代 6 把它推翻 ⇒ 分類翻面 ⇒ 門檻本文一字未動而結果相反。★★★「永久」從來沒有【跨世代】的意思。
#
# ★★★本案實證：2026-08-20 裁「零 LOD（拆 near/far）排最後」，理由是「花預算 + 依賴時間包層級制」。
#   兩個理由後來【都消滅了】（層級制落地、而它開始燒錢），★而【沒有人回頭】——
#   因為那個裁定寫在 `progress.md` 的【散文】裡，不在任何會被檢查的地方。
#
# ★★★★【2026-09-07 血證：met_check 自己也會得那個病】
#   ★我寫 `ten-consequence-farm-income` 的 met_check 時,grep 的是 `order_system.gd` 裡的 `coin.flow.by`
#   ★★而實測:`coin.flow` 在 `scripts/simulation/resource_bank.gd`(4 處),order_system.gd【0 處】
#   ⇒ ★★★那條 met_check【永遠不會觸發】—— 而它不觸發的樣子,跟「條件還沒到」一模一樣
#   ⇒ 規矩:met_check 若 grep 一個符號,★【先去查那個符號現在住在哪個檔】,不要憑印象寫路徑
#      (我是在稽核『每一條 met_check 會不會永遠不觸發』時,在自己一小時前寫的那條上抓到的)
#
# ★★★★★【2026-09-09 同一個病的【上一層】：不是路徑錯，是【詞彙】是憑空想的】
#   `ore-depletion-counter` 的 met_check grep `depletion|remaining_yield`，
#   ★而 code 裡真正的字是 `harvest_deplete`（`resource_system.gd:458`）——
#   ★★`depletion` 不是 `harvest_deplete` 的子字串 ⇒ 那條 met_check 永遠不會觸發。
#   ⇒ 規矩升級：★★★**met_check 的詞彙要從【目標檔案現有的詞彙】取**
#     （先 `grep` 那個檔看它怎麼命名，再寫 pattern），**不要用自己想的詞**。
# ★★★★★★【2026-09-10 第三種寫法錯：我寫的是「修好了沒」，不是「該修了沒」】
#   `farm-pot-single-source` 的 met_check 我原本寫成
#     `required_terrain 存在 && _farm_pot 【不再】有舊形狀`  ⇒ ★那是【完成條件】
#   ⇒ ★★而 defer 的 met_check 要的是【到期條件】：`required_terrain 存在 && _farm_pot 【仍是】舊形狀`
#   ⇒ ★★★寫成完成條件的 defer【永遠不會叫】—— 它只會在有人剛好修好的那天默默變綠，
#     而那正是這張表要防的事（沒有人回頭）。
#   ★判準一句：**met_check 要在「該做而還沒做」時回 0，不是在「做完了」時回 0。**
#
#   ⇒ ★★而本閘【抓不到這一類】，我明說：pattern 沒命中的樣子，
#     跟「條件正確地還沒到」一模一樣，而「還沒實作的東西本來就 grep 不到」是合法情形
#     ⇒ 無法用「詞彙不存在」當紅燈。★★★所以這一類的防線是【人在碰到那個 arc 時複驗】，
#     不是閘 —— 而把這句話寫在這裡，就是那條防線本身。
# ★欄位（TAB 分隔，四欄）：
#   token        唯一代號（kebab-case）
#   summary      裁定摘要（一行）
#   defer_until  ★【解除條件】—— 必須寫成【人看得懂的條件】，不是日期、不是「有空再說」
#   met_check    ★★★【可執行的檢查】—— shell，exit 0 ＝【條件已達成】⇒ 閘會紅
#                ★★沒有 met_check 的行【直接 FAIL】（照 merge-gates.tsv 的 expect 欄前例：
#                  ★★★不能有「沒有判準也算過」的路徑）
#
# ★★★★【2026-09-06 blueprint 立】「XX 需要時」類觸發，一律改寫成【該資源的可量門檻】
#   ★「需要時」＝【某個數字越線】⇒ 把那個數字寫出來
#     （例：「perf 需要時」⇒ `最近的量測檔出現 wall_s > 28800`（＝8 小時）——
#      ★★量測檔本來就帶 `wall_s`，是機械可讀的）
#   ★★★而【寫不出數字的「需要」＝還沒想清楚需要什麼】
#   ★真不可量化的極少數 ⇒ 退而求其次＝【定期複審日期】（也是 met_check：`[ "$(date +%F)" \> "YYYY-MM-DD" ]`）
#   ⇒ ★★總之【表上不留裸 memory 行】
#
# ★★★★【2026-09-06 修 met_check 的參照點】:凡是比 branch 有沒有進主線的,一律比 `origin/main`
#   —— ★不要比【本地 main】:主 dir 可能落後(它是多角色共用的讀取面,不保證同步)
#   ⇒ ★★而那會讓鬧鐘【在它最該響的時候不響】(東西已經上去了,而本地還沒看到)
#   ⇒ ★★★血證 2026-09-06:⑧ 已在 origin/main,而 defer 閘印 PASS —— 因為本地 main 落後兩顆
#
# ★★★★【2026-09-06 第二個血證:判準要對應【你真正在等的事】】
#   ★我把三張經濟票的 met_check 寫成「`ls docs/measurements/*batch1-compare*` 有東西」
#   ⇒ ★★而【一個 interim 檔就滿足它】—— 對比輪十格才做完【一格】,鬧鐘就全響了
#   ⇒ ★★★我寫「檔案存在」時,心裡想的是【那一輪跑完了】——【兩者不是同一件事】
#   ⇒ 修法:改成【完成標記】`docs/process/verdicts/batch1-compare-COMPLETE.measure.json`
#      (★由 measurer 在【十格全部交完】時才寫)
#   ⇒ ★而通則:met_check 要問「這個條件為真的時候,我【真的】可以動工了嗎?」
#
# ★★★★【2026-09-06 blueprint 立】「歸某 arc」與「排某事件後」的分界：
#   ★「歸某 arc／歸某 backlog」 ⇒ 【合法的家】—— roadmap 由【用戶】駕駛，不需要 token
#   ★★「排某事件之後／排最後／等 X 再做」 ⇒ 【要 token】
#     —— ★★★因為它綁的是【一個會過去的事件】，而事件過去之後【沒有人會回頭】
#        （血證：「零 LOD 排最後」＋本日一次判掉的存量裡，★兩筆的觸發事件【早就到期了】：
#          `exam-budget-recalc`（時間重錨已落地）／`envoy-ptype-tap`（終卷已到））
#
# ★解除後：把該行【刪掉】並在 commit message 寫明 —— ★★不要改成「已完成」留在表上
#   （留著會讓這張表長大，然後沒人看 —— 那正是它要防的病）
#
# ★【2026-09-06 CLOSE 三筆】money-genesis-start／market-thickness-v0／declamp-price
#   解除條件（批後同 seed 對比輪的量測檔）★已達成 ⇒ 三張票都已派工到 implementer：
#   ⑩ declamp 核心已落地 `feat/declamp-price` @02801041（驗收進行中）；⑨／B-v0 在手上。
#   ★★所以是【延後結束了】,不是【條件放鬆了】—— 兩者在表上必須分得出來,
#     ★★★否則「做完了所以移除」跟「等不下去所以移除」會長成同一個動作。
#   ★批 2 規矩（我立）:這三張【不得一起 merge】—— 動的是不同子系統,
#     合著進會讓下一條 baseline 讀不出是誰造成的。
token	summary	defer_until	met_check
note-workflow-harness-overhaul	★notes/2026-08-2x-workflow-harness-overhaul.md：工作流 harness 改版八項｜★★驗證：【部分落地】——P2（每個數字帶量測時間＋commit）有 .claude/hooks/stale-conclusion.sh 與 03b_measurer 的對應段，而其餘七項未逐項驗｜★★★本 token 的存在理由：★別讓「部分落地」被讀成「做完了」——這是今天反覆出現的形狀	下一次 harness 檢討（★屆時要逐項驗八條，不是抽驗一條）	test -f docs/process/verdicts/harness-overhaul-8-items-audit.measure.json
player-verbs-revive-market-four	★玩家端可達性①：復活 agent 入口到現況——★市場四件套（掛單／取消／寄賣／取回）為首，★★零命中【已窮盡驗過】｜★★★制度根因：P9 全引擎產物零玩家格，GUI/REPL 與 api 一起 drift ⇒ api 補一次，GUI 與 REPL 都拿到（★所以修在 api 層不是各補一份）	量測空檔（★不擋人口卷/薪資修法主線）	git grep -qE 'place_order|cancel_order|consign|claim_goods' -- scripts/simulation/player_api_mapper.gd
player-verbs-selfcheck-oracle	★玩家端可達性②：agent 自檢腳本要有 **oracle**——★現況 REPL 只回 `ok:true` ＝【能按，不能判】｜★★而「能按」與「按了有沒有發生」是兩件事（本專案今日血證滿地：counter 是 0 對『正確搬走』與『被銷毀』給同一判決）｜★★★所以自檢要斷言【世界變了什麼】，不是【呼叫成功了沒】	接①之後（★agent 自檢本質是床，可排量測空檔）	test -f docs/process/verdicts/player-verbs-selfcheck.measure.json
player-surface-gui-merged-into-C1	★玩家端可達性③：GUI 版面＝C1 五分頁框｜★★★systems 裁：**與既有 C1 介面票【合併】不另立**——同一個表面做兩份 spec ⇒ 兩份會漂移，而漂移的那份會變成下一個「索引說謊」（同日血證）｜★合併後的單一 spec 要同時覆蓋：附身選擇／point-buy／記憶 UI／時間控制／事件跳停零註解／★五分頁框與市場四件套的擺放	C1 介面 spec 撰寫時（★一份，不是兩份）	ls docs/superpowers/specs/ | grep -qi 'c1.*interface'
tier2-list-is-a-snapshot	★bed-sweep-tier2.sh:46 `[ -f "$LIST" ] || ls -1 scripts/debug/*_test.gd > "$LIST"` —— 清單【只在檔案不存在時重建】⇒ 新增的床永遠不會進全掃。實測 LIST mtime=2026-09-07 08:14 共 137 行，而當時 ls 得到 139 支。★★不現在修：修它會讓全掃規模與時間變動，應與床標記票一起做（那時每支床自己宣告種類，母體不必靠檔名猜）	床標記票(bed-kind-marker)落地後，全掃母體改由 @bed-kind 決定	grep -q "bed-kind" .claude/hooks/bed-sweep-tier2.sh
tier2-population-excludes-bed-gd	★全掃母體只有 `*_test.gd`＝139 支，而 `*_bed.gd`＝153 支【完全不在母體裡】(scripts/debug 總數 371) ⇒ 「Tier2 全床掃描」這個名字讓人以為它掃全部，實際涵蓋 137/371。★★同族：母體是誰決定的、有沒有人驗過（今日主題）	母體定義改成可驗的（by @bed-kind 或明列），且名稱與涵蓋範圍一致	grep -q "_bed.gd" .claude/hooks/bed-sweep-tier2.sh
nightshift-handoff-silence	★【夜班步驟間隙靜默】(blueprint 提供現況 2026-09-08)：步驟完成→下一站認領之間常有 45–75 分鐘【零 commit 零信】。昨夜今晨 6 次,其中 5 次靠 blueprint 人肉踢。★★出貨信機械化(Stop hook 點名未出貨產物)已治「做完沒寄」那半邊；★★★「收信沒 ack」那半邊目前只有【手動紀律】,待機械化 —— 而那正是 45–75 分鐘的來源。	收信端 ack 機械化落地（收到 to:me 且 status:open 後 N 分鐘無回應 ⇒ 有東西會叫）	test -f .claude/hooks/inbox-ack-nag.sh
watchdog-longrun-attribution	★【watchdog 計時歸因】(blueprint 提供現況 2026-09-08)：長工作計時把【連續多支短跑】累計成【單一長工作】⇒ 兩次 RUNAWAY 誤報(8h / 14h47m)。★★病在【來源歸因】不在門檻 —— 調高門檻只會讓真的失控也不報。★★★同族：判決/計時沒有主詞（它不說自己在計哪一支）。	計時綁到單一來源（每支跑各自計時），且誤報兩例用真實樣本釘成對照	grep -rq "run_id\|per_run" .claude/hooks/watchdog.sh
local-only-branches	★20 支 feat/* branch 沒有 origin 對應，只活在本地。★★拆 worktree 碰不到 branch ref，所以 2026-09-08 那次事故沒有損失；★★★而「只在本地」意味著任何一次誤刪 branch / repo 損壞就沒了。systems 不替別人批次 push（推出去是對外動作）。	每支活躍 branch 都有 origin 對應（或已確認廢棄）	test $(git for-each-ref --format='%(refname:short)' refs/heads/ | grep -c "^feat/") -eq $(git for-each-ref --format='%(refname:short)' refs/remotes/origin/ | grep -c "^origin/feat/")
means-end-s6-delay-discount-red	means_end_s6_test 的「delay 0 → discount 1」那條斷言在乾淨 HEAD 上就是紅的（temp worktree 實跑確認，非本輪造成）——★而它沒有被任何閘讀 ⇒ 紅了沒人知道；本輪因為簽名改動而 touch 到它，先標 pending 讓它可見，不順手改斷言也不順手接電（接電＝把一支紅的閘掛上全線 merge，那是 systems 的裁量）	那條斷言恢復綠（修 code 或裁定作廢），屆時它應被升成 invariant 並進 merge-gates.tsv	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/means_end_s6_test.gd 2>/dev/null | grep -q "DONE === ALL PASS"
# ★★★`scrip-spec-hard-cells` 的 met_check 【詞彙是我對未來檔名的猜測】(scrip／軍票)——
#   ★依本表頭 2026-09-09 的規矩,這種 met_check 抓不抓得到【無法事先驗證】
#   ⇒ ★★開軍票 spec 的人【有義務回來確認這條抓得到】(或當場把 met_check 改成真檔名)。
#   ★★★把這個義務寫在這裡,是因為【閘抓不到這一類】——防線是人,而這行字就是那條防線。
scrip-spec-hard-cells	★軍票 spec 的兩個【硬格】(blueprint 升格 2026-09-09,systems 各補一半)：(a) trust 查表禁 default 常數 fallback(三態:有值/過期/從未觀察,未知=拒收)｜★systems 補的另一半:【同一輪】把 value-key-gate 的母體擴到票 trust 的容器(它現在只掃 `values.get(`,看不到別的容器),並附陰性對照(放一個不存在的 trust 鍵進去,閘必須紅)——否則那句規矩是【沒有守衛的規矩】；(b) 發行者收回自票再花出去=【再發行】issued++｜★systems 補的另一半:稽核恆等式 issued==redeemed+outstanding+defunct 【兩頭都對不代表沒漏】⇒ 要另有【單調計數】,且驗收成對(造一次 re-spend ⇒ issued +1；拿掉那條記帳 ⇒ 該格必須紅)	軍票 HOW spec 開工時（blueprint 的 WHAT 排序決定）	ls docs/superpowers/specs/*scrip* docs/superpowers/specs/*軍票* 2>/dev/null | grep -q .
seek-days-personality	★`SEEK_DAYS` 掛人格化（膽大探得遠／慎重探得近）——blueprint 立 2026-09-09,照決策模型 B 的節奏後補｜★★本票（批二① seek-range）刻意【不做】:先讓「搜尋範圍是一個限制」這件事成立並被量到,再談它該不該隨人格變 ——★★★一次只動一個變因,否則量到的差異分不出是【限制生效】還是【人格分化】	決策模型 B（人格化那一波）開工時	grep -q 'SEEK_DAYS' scripts/simulation/decision/goal_resolver.gd && grep -qE 'SEEK_DAYS.*(膽|values\.get)' scripts/simulation/decision/goal_resolver.gd
farm-pot-single-source	★`_farm_pot`（decision_context.gd:465）與 `FACILITY_DEF["farming"]["required_terrain"]` 是兩個地形真相源｜★★選址評分只罰山地(森林=1.0 滿分)而建址端森林蓋不了 ⇒ 評分端不知道建址端變嚴｜★★★修法＝`_farm_pot` 讀同一個真相源,不自己再寫一份地形判斷（「估算器禁手抄物理」在地形規則上的同一條）	農田限平原票 merge 後、第一份 wall.reject_terrain 讀數回來時	grep -q '"required_terrain": "plains"' scripts/simulation/outpost_system.gd && grep -qE '_farm_pot.*(0\.4|mountain)' scripts/simulation/decision/decision_context.gd
odds-must-read-the-target	★★★**別人來打我我會看對方多強；我要去打別人我不看** —— `winnable`（`decision_context.gd:533`，belief-based god-view-free）只被**逃跑/迎戰/求和**讀（`terms.gd:174/468/478`＝【被打】那一側），而**攻擊 `attack_win_odds` 與掠奪 `cap` 用 `self_armed_ratio / VIABLE_ARMED_RATIO`＝完全不讀對手**｜★修法不是『改讀 winnable』：`perceived_power_ratio` 是對【威脅來源】算的（`:468`），不是對【我要打的那個目標】⇒ 真修法＝對攻擊/掠奪的目標另算一次 `ThreatAssessment._power_ratio`｜★★而它同時改攻擊與掠奪 ⇒ 要在掠奪上秤那張票 merge 之後單獨做（兩邊同時動＝分不清誰造成差異）	掠奪走期望價值票 merge 後	! grep -v "^[[:space:]]*#" scripts/simulation/decision/decision_context.gd | grep -q "attack_win_odds = clampf(c.self_armed_ratio / DecisionTerms.VIABLE_ARMED_RATIO"
arbiter-same-tier-util-not-whitelist	★同層換手被 `TaskArbiter` A1a 的 `ENGINE_SOURCES` 白名單擋（兩側 task_reason 都要在名單上）｜★★2026-09-16 實測：16 筆同層被擋中 **13 筆擋對**（現任 util 高 0.21～0.96）、**3 筆擋錯而優勢 < 0.005＝平手** ⇒ **白名單擋掉的是【一樣好的事】，而那正是防抖動應該做的** ⇒ 關票｜★重開的條件＝【可證偉的量級】而非「再看看」	出現【擋錯】樣本且其 util 優勢 ≥ 0.1（★來源：量化精度 0.01 的十倍，且 < 擋對群最小值 0.21 ⇒ 不會濾掉真衝突）	! grep -v "^[[:space:]]*#" scripts/simulation/task_arbiter.gd | grep -q "ENGINE_SOURCES"
facility-delegate-always-fails	★★★`build_stable` 與 `maintain_weapons` 兩個 facility delegate candidate **每一次贏在前面、每一次派不出去**（逐筆樣本：掠奪那 18 次第 3 順位，前面失敗的永遠是這同樣兩個）｜★根：`_dispatch_facility_builder`（`faction_ai_system.gd:5536`）回 false；該分支原本零 counter（「成功與失敗都靜默 ⇒ 蓋設施為什麼沒發生問到這裡就斷了」），counter 是後補的｜★★嚴重性不在「偶爾失敗」而在**永久佔住排序前兩名**：引擎每輪認真選出它們、世界每輪做不到，而下游看到的是「第 3 名被派出去」＝看起來一切正常｜★★★這是手不聽腦的**執行端**	下一輪排程（★不擋掠奪票；而它已有逐筆樣本與具名根因，可直接開工）	! grep -v "^[[:space:]]*#" scripts/simulation/faction_ai_system.gd | grep -q "funnel.delegate.facility_"
scout-on-the-scale-bed-unscheduled	★`scripts/debug/scout_on_the_scale_bed.gd` 量的是**世界級行為**，`SC_TICKS` 預設 **43200＝30 天** ⇒ **當 merge gate 太重**（今天已有一輪被記憶體殺掉）｜★★**而縮短窗口＝削掉它唯一的鑑別力**（那些行為在 2 天內根本不會發生）⇒ **不是弱一點的閘，是一張永遠綠的床，而永遠綠的床比沒有床更糟**｜★★★**裁：不進 merge-gates.tsv，改由本行當鬧鐘** —— 誠實標：**這張床目前不在任何自動清單上**；響的時候手動跑一輪 30 天｜★血證：它今天早上隨走廊票 merge 進 main，而**沒有人發現它不在註冊表**（merge 的人是 systems，漏問「這張票有沒有新增床」的也是 systems）	偵查／攻擊估值那條線再被改時（`richness_compressed`／`bucket_floor`／`attack_win_odds` 任一被改）	! grep -v "^[[:space:]]*#" scripts/simulation/faction_ai_system.gd | grep -q "func richness_compressed"
desperation-bed-v2-trajectory-shift	★`desperation_violence_cell_bed` 從 `4725bb819` 改成 `495c497be`（加逐筆 rank 表）之後，**同 seed 母體 9 → 6**｜★★**結論已確定且可重現**：用新那份床重跑 seed1337 ⇒ **母體逐字重現 6**（883/34/521/6）⇒ **兩輪本來就不可比（母體是床定義的）**｜★★★**而【機制未定位】**：三個候選都排除（`gather` 的 advance 逐字 false／`rank_scored_ctx` 不重新 gather／觀測路徑無 `randf`／`decision_context.gd:433`），**「加的那段 code 具體哪一行改變軌跡」沒有定位到**｜★**systems 裁 2026-09-17：不追**（bisect 一段觀測 code 成本高、而結論已足夠）——**但它要有名字，不能讓「沒定位到」消失**	同一支床再次出現無法解釋的母體變動（★屆時連同本行一起查，不要從零開始）	grep -q "desperation_violence_cell_bed" docs/measurements/bed-sweep-baseline.tsv
raid-won-argmax-but-dispatched-join-team126	★★★**「贏了卻沒被設上」的一個【有 seed／day／team 的真實樣本】**：`seed777 team126` **連兩天掠奪贏 argmax（rank 1）而實際 task ＝ 投靠**（measurer 2026-09-17）｜★證據：`docs/measurements/2026-09-17-desperation-violence-rank-seed777-raw.txt`（310196 bytes，`HEAD=26889aa6f`）｜★★**而它與今早的三分法結論【對立】**：那一輪把 (4b)（擋它的優先序更低＝手不聽腦）判成 **0**，**而那是 2 天窗、單 seed 的 0** —— 這是**第三個 seed、第十天的一個反例**｜★★★**systems 查 raw 時另外看到一件【可能就是解釋】的事**：`team126` 是 `Team18` 派出的 **pop=2 運輸子隊**（`[Sub] Team18 派出子隊 Team126 … task=運輸`）⇒ **子隊的 task 可能由母隊指派而非自己 rank 決定** ⇒ ★**若是，它不是手不聽腦，是【子隊本來就不自己決定】** —— **而那兩種結論的下一步完全相反**｜★要答的三問：①那兩天 `try_set` 有沒有被呼叫、回什麼 ②若被擋，擋它的 task／reason／優先序是什麼 ③子隊路徑是否繞過 rank 結果	下一個決策層 slice 開工時（★而這一行已經帶著證據路徑與三個問題，不要從零開始）	grep -q "raid-won-argmax-but-dispatched-join" docs/known_issues.md
bump-sample-global-cap-first-n-blind	★★★**全局 cap ＋ first-N ⇒ 【後來發生的事】永遠取不到樣本**：`raid.factors` 的 `bump_sample` cap=200 **在 day1 就被全世界所有隊的 `loot_drive` eval 塞滿** ⇒ 絕境卷第一輪 **7 筆全部 `raid_factors_captured=false`**（measurer 2026-09-17 查出）｜★**而它的症狀是【沉默】**：不是報錯，是 `captured=false` —— **「沒取到」與「沒發生」在下游長得一樣**｜★★**這一卷的繞法**：呼 `rank_scored_ctx` 前只清那一個 key（★零 gameplay 影響，已驗 population v3→v4 逐字不變）⇒ **那是【這一卷的】解法，不是【那個坑的】解法**｜★★★**真問題**：**任何人要看 `raid.factors`（或任何高頻 key）都會拿到 day1 的樣本** ⇒ 需要的是「**每 key 的 cap 用完時要說話**」或「**取樣改成保留尾端／分層**」——★systems 未裁，因為它動的是 Probe 的語意	下一次有人發現某個 `bump_sample` key 取不到樣本時（★屆時連同本行一起看，不要從零開始）	grep -q "bump-sample-global-cap" docs/known_issues.md
prey-gate-belief-freshness-mismatch	★★★**同一個「有沒有情報」的問題，`_find_weakest_prey` 的兩道門用了【兩個不同的標準】**：第二道 `BeliefSystem.has_belief`（`belief_system.gd:106` —— **只看 claims 非空，不看新鮮度**）／第三道 `reachable` 走 `belief_pos`（`:123-141` —— **超過 `BELIEF_STALE_TICKS ＝ 3 天` 就回 (-1,-1)＝視同未知**）｜★**後果**：候選者**先被當成「有情報」收進來，再被當成「不知道在哪」丟掉** ⇒ 實測 `has_belief=false` **0 筆**（那道門擋不住任何東西）、而 `no_belief_pos` **6/10（60%，最大宗）**｜★★**它解釋了整條絕境線的主因**：22 筆機會裡 16 筆沒上場，而沒上場的最大單一原因是【位置情報過期】——**絕境的隊不移動也不偵查 ⇒ 它的位置情報必然過期**｜★**未裁**：兩道門要對齊到哪一個標準（都看新鮮度／都不看／第二道改讀 `belief_pos != -1`），而它牽動 `attack_scan` 同形的門	下一個資訊網 slice 或絕境經濟 slice 開工時（★本行已帶 file:line 與實測分佈，不要從零開始）	grep -q "prey-gate-belief-freshness" docs/known_issues.md
belief-staleness-line-is-a-dead-constant	★`BELIEF_STALE_TICKS = WorldState.TICKS_PER_DAY * 3`（`belief_system.gd:10`，**自己標著 TEST VALUE**）＝**全域死常數**：所有觀察者對所有目標用同一條 3 天線｜★★**而它不該是常數**：一則位置情報的有效期，取決於**目標多會跑**與**我離它多遠** —— 一支駐村不動的村隊，它的位置三天後仍然準；一支行軍中的隊，三小時就不準｜★★★systems 裁 2026-09-17：**該物理化**（有效期由【移動能力 × 距離】推，不新增旋鈕）｜★★★**而 2026-09-17 同日更正**：我原本寫「走既有 `_tiles_per_day` 單一計算點」＝**錯的**，那支函式內部讀目標的 live `tile_pos`／`fatigue`／載重（`movement_system.gd:216/222/227/232`）⇒ 拿它當有效期的分母就是 god-view（撞 §1a）。**物理化的來源只能是觀察者自知的量＋belief 欄位**；目標特有的速度要先過 `target-speed-belief-field-or-flat-forever` 那一格——**而不在「過期位置進偵查池」那一票裡做**，因為它是 `BeliefSystem` 的全域語意、動它會影響所有讀者｜★血證：絕境 22 筆裡 16 筆沒上場，最大單一原因就是位置情報過期（`no_belief_pos` 6/10）	「過期位置→偵查分池」那一票 merge 後（★屆時偵查已經會去更新位置，改這條線才不會只是放寬）	! grep -v "^[[:space:]]*#" scripts/simulation/belief_system.gd | grep -q "BELIEF_STALE_TICKS: int = WorldState.TICKS_PER_DAY \* 3"
raid-cost-must-read-feud-edges	★★★**掠奪的 `subjective_cost` 只讀【反咬風險】（`terms.gd:410` `ctx.weak_prey_power_ratio × (1−兇性容忍)`），而掠奪【專打弱者】⇒ 那個值本來就接近 0 ⇒ 壓低它沒有空間**（實測貢獻 **−1.8%**）｜★**缺的那一半 ＝ 名聲／記恨** —— 而恩怨帳切片A 把讀者接在 **`ask_price` 的 `buyer_leader_id`（交易估值）** 與 **離團 util** 上，**兩者都不在掠奪的成本項路徑上**｜★★**實測佐證（measurer 2026-09-17）**：因果鏈 10 個檔案跨 `5ac91a6fa..b647643fc` **全零 diff** ⇒ **恩怨帳 Slice A 沒有碰到這條路徑一個字** ⇒ `f=1500` 尾部**仍不搶**（0.0779 vs 紮營 0.1921）｜★★★**而我先前那張複查票的解除條件【選錯判準】**：我寫「恩怨帳的交易估值讀者接完」，**而我要的是「掠奪的成本項讀得到恩怨」** —— **兩件事被我寫成了一件**（`buyer_leader_id` 存在 ≠ 掠奪讀得到）｜★修法方向：`subjective_cost` 除了反咬風險，**再加一項【名聲／記恨】讀 `RelationGraph` 的 feud 邊**（搶了會結怨 ⇒ 交易加價／拒賣／求助被拒 ⇒ 那是真成本）	下一個戰爭線或恩怨帳切片B slice 開工時（★本行已帶實測數字與零 diff 佐證，不要從零開始）	grep -q "raid-cost-must-read-feud" docs/known_issues.md
target-speed-belief-field-or-flat-forever	★**「舊情報值多少」的分母現在對所有目標都是同一個數**：`MovementSystem.baseline_tiles_per_day()`（不讀任何隊狀態的基準旅行者）｜★★**誠實標逐字（implementer 2026-09-17）**：「目標跑得快 ⇒ 舊情報更不值錢」在**函式裡成立、在世界裡不成立**｜★**這是刻意的**：照原 spec 傳目標的 team 會讀它的 live 地形/疲勞/載重 ⇒ 撞 §1a（見 spec §5④ 撤回段）｜★★★**要分化就得新增一個【移動能力】belief 欄位**（親見時記下它帶不帶車／走多快）——**而 §1a 尾巴逐字「哪些欄位能進 belief 由 WHAT 定」⇒ 這格是 blueprint 的，不是 systems 的**（外觀層、親見可得 ⇒ 不是內心/組織層，形式上開得了）｜★**附帶的驗收誠實標**：fixture 格 3-d（慢目標 1.000 vs 快目標 0.029）驗的是函式不是世界，**不得引用成「世界裡會分化」**｜★★★**WHAT 裁 2026-09-18：不開欄，改做【兩檔】** —— 新尺的「目標可能速度」**讀已 merged 的錨定性**（錨定 ⇒ 最慢那一端／無錨 ⇒ 基準），**零新欄位**；★誠實標同時改寫成「**兩檔分化在世界裡，連續分化不在**」｜★★**而付費證據的形狀他也指定了**：這把尺日後若量到**受害者集中在【同檔內的快慢差】**（輕騎兵 vs 牛車都算無錨，而誤差真的咬人）⇒ **帶數字回來議開欄**	★**已不是「等 blueprint 裁要不要開欄」**（2026-09-18 已裁不開）⇒ 現在等的是**同檔內快慢差的受害者數字**；★★或任何人想拿「目標速度」餵決策時先讀這一行	! grep -q "baseline_tiles_per_day" scripts/simulation/decision/decision_context.gd && grep -qE "speed_est|mobility_est|move_est" scripts/simulation/belief_system.gd
